angDist,_Glon,_Glat,_RAJ2000,_DEJ2000,2MASS,more,RAJ2000,DEJ2000,Cluster,YSO,Num,RV,e_RV,Vrot,e_Vrot,Teff,e_Teff,log(g),e_log(g),Veil,e_Veil,SB2,chi2,Slope,Lchi2,LSlope,q,e_q,SimbadName,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.049365,160.0779819559,-19.1010357975,54.81593704,31.40852356,2M03391582+3124306,*,54.81593704,31.40852356,IC 348,2,16,13.8,0.419,17.2,0.891,3870.0,23.2,4.58,0.0892,0.878,0.0501,1,1.72,1.7,1.72,1.7,1e+20,1e+20,2MASS J03391582+3124306,54.81592262224,31.40851750869,0.0084615,0.0060718,75.4,121222157690906752,54.81594639396,0.4045,31.40848947868,0.2965,3.0425,0.4355,6.9867,7.785,4.565,0.514,-6.307,0.398,213,0.8072,254.09,0.983,1.129,95,1.1772,0.0972,15,1.038,0,255.455,3.30411,19.66908,46.1987,9.07105,21.176968,466.69,18.075325,2.008,3.101643,1e+20,1e+20,0,1e+20,1e+20,145690548159340762,999999,999999,999999,0.014311,0.213201,0.048983,19.643489,0.01399,261.548,0.512,8.3301,6.2508,0.1627
0.185493,159.9754012643,-18.4264415454,55.22761917,31.99318695,2M03405462+3159354,*,55.22761917,31.99318695,IC 348,3,16,14.7,0.15,10.4,0.447,3190.0,10.8,4.65,0.0404,0.257,0.0194,1,1.35,0.565,1.35,0.565,1e+20,1e+20,2MASS J03405462+3159354,55.22758082514,31.9932269163,0.0029855,0.0021248,87.37,217341326752424704,55.22760563272,0.1337,31.9931988872,0.0995,3.1955,0.1439,22.2044,7.886,4.734,0.188,-6.307,0.135,190,-1.0045,272.6,0.503,3.2,95,1.1171,0.0376,13,0.946,0,1542.7,2.62818,17.716663,153.434,15.2956,19.87374,3321.48,15.944567,2.252,3.929173,1e+20,1e+20,0,1e+20,1e+20,146390552276092422,999999,999999,610036533,0.003319,0.108271,0.008294,17.691072,0.003295,1579.49,0.642,2.9839,2.1269,0.0318
0.098593,160.0188260499,-18.3396023766,55.33004761,32.03437042,2M03411921+3202037,*,55.33004761,32.03437042,IC 348,3,16,15.9,0.112,11.1,0.33,3850.0,8.55,4.46,0.0307,0.54,0.0153,1,2.93,0.529,2.93,0.529,1e+20,1e+20,2MASS J03411921+3202037,55.33003425543,32.0343454824,0.001992,0.001511,70.22,217344281689920000,55.33006358998,0.108,32.03431298044,0.0768,3.3068,0.1206,27.4122,9.208,5.595,0.121,-7.313,0.1,163,0.743,197.29,0.289,1.789,31,1e+20,1e+20,14,1.04,0,2512.95,63.2148,17.186905,285.137,20.6282,19.200907,3957.3,15.754397,1.688,3.446509,1e+20,1e+20,0,1e+20,1e+20,146440553300241808,999999,999999,611037473,0.027451,0.078597,0.072692,17.186905,0.027451,2512.95,0.142,1.9429,1.5736,0.1755
0.139993,160.2788526506,-18.4271824824,55.4893837,31.81016159,2M03415745+3148365,*,55.4893837,31.81016159,IC 348,2,4,15.8,0.437,42.3,0.7,4270.0,12.6,3.97,0.0512,0.705,0.0303,1,2.22,2.01,2.22,2.01,1e+20,1e+20,2MASS J03415745+3148365,55.48942901215,31.81016701859,0.0079311,0.0053048,100.88,216587371012705792,55.48945101434,0.3705,31.81014497373,0.2611,3.9671,0.4138,9.5878,6.504,4.207,0.492,-4.96,0.344,237,111.9268,27195.88,3.056,1251.0,31,1e+20,1e+20,14,9.429,0,12207.2,51.3584,15.470829,1554.06,31.0718,17.35987,18673.0,14.069861,1.657,3.29001,1e+20,1e+20,0,1e+20,1e+20,146170554894152765,999999,999999,610036575,0.005335,0.021887,0.011251,15.470829,0.005335,12207.2,0.133,7.8525,5.4203,-0.1514
0.099272,160.2864292147,-18.4341789646,55.49068451,31.80019188,2M03415776+3148006,*,55.49068451,31.80019188,IC 348,2,6,15.3,0.261,31.8,0.423,3730.0,12.1,3.69,0.035,0.587,0.0181,1,5.67,2.35,5.67,2.35,1e+20,1e+20,2MASS J03415776+3148006,55.49070838468,31.80021055319,0.0026128,0.0017254,82.32,216587371012706048,55.49073322412,0.1188,31.80017794263,0.0867,3.5875,0.1336,26.8469,8.741,4.75,0.163,-7.337,0.111,221,-0.8908,277.74,0.387,2.106,31,1e+20,1e+20,14,0.956,0,1664.59,17.9069,17.6341,105.138,13.8089,20.28414,2750.48,16.149374,1.716,4.134766,1e+20,1e+20,0,1e+20,1e+20,146160554907000808,999999,999999,610036576,0.012,0.142629,0.03429,17.6341,0.012,1664.59,0.077,2.5996,1.7452,0.1124
0.07204,160.3145667228,-18.4299114705,55.51812363,31.78652191,2M03420434+3147114,*,55.51812363,31.78652191,IC 348,2,16,15.1,0.114,10.7,0.296,2650.0,7.86,3.99,0.0437,0.00228,0.00285,1,0.304,0.399,0.304,0.399,1e+20,1e+20,2MASS J03420434+3147114,55.51814269527,31.78653364937,0.0055134,0.0037533,95.58,216586542083359232,55.51816991049,0.2531,31.78650094977,0.179,3.3254,0.2777,11.9741,9.012,5.205,0.347,-7.357,0.24,229,7.2059,545.92,1.447,12.27,31,1e+20,1e+20,14,1.357,0,806.974,6.66717,18.420218,57.6636,7.46883,20.936289,1407.78,16.876562,1.816,4.059727,1e+20,1e+20,0,1e+20,1e+20,146140555181364392,999999,999999,609036318,0.009384,0.140657,0.021099,18.420218,0.009384,806.974,0.188,5.4994,3.7738,-0.076
0.11269,160.3994188699,-18.4443989709,55.58033371,31.72414017,2M03421927+3143269,*,55.58033371,31.72414017,IC 348,2,15,16.7,0.101,7.64,0.416,3750.0,11.2,4.15,0.034,0.939,0.0208,1,2.01,0.812,2.01,0.812,1e+20,1e+20,2MASS J03421927+3143269,55.58037033039,31.7241432698,0.0045537,0.0031106,79.6,216574172577545088,55.58039425205,0.2215,31.72410806429,0.1612,3.46,0.2495,13.865,9.149,4.578,0.283,-7.921,0.202,221,1.7288,386.92,0.946,4.959,95,1.0537,0.0508,14,1.083,0,763.9,5.17722,18.479776,65.2802,13.5156,20.801588,1332.93,16.935875,1.83,3.865713,1e+20,1e+20,0,1e+20,1e+20,146060555803629535,999999,999999,609036328,0.007857,0.224808,0.021113,18.454185,0.007697,782.119,0.228,4.5139,3.1681,0.1374
0.082204,160.1560687748,-18.1581861129,55.58473206,32.09194946,2M03422033+3205310,*,55.58473206,32.09194946,IC 348,2,16,14.5,0.0904,8.91,0.334,3960.0,6.21,4.65,0.0261,0.295,0.0112,1,1.93,0.345,1.93,0.345,1e+20,1e+20,2MASS J03422033+3205310,55.58475663847,32.09194008833,0.0011786,0.0008711,80.42,216688766601562368,55.58477987228,0.0662,32.09190903947,0.0448,3.2314,0.0731,44.1951,8.272,4.429,0.073,-6.986,0.056,247,-0.0272,284.0,0.139,0.7897,31,1e+20,1e+20,15,0.997,0,4156.33,21.4361,16.640593,466.835,14.1966,18.665634,6043.25,15.294719,1.566,3.370915,1e+20,1e+20,0,1e+20,1e+20,146510555847510914,999999,999999,611037608,0.006241,0.033135,0.019907,16.640593,0.006241,4156.33,0.031,1.1712,0.881,0.1002
0.062522,160.4097533376,-18.4125291597,55.61307907,31.74247551,2M03422713+3144329,*,55.61307907,31.74247551,IC 348,3,16,15.9,0.0773,10.5,0.256,4250.0,6.25,4.64,0.0208,0.235,0.00678,1,0.533,0.148,0.533,0.148,1e+20,1e+20,2MASS J03422713+3144329,55.61308614299,31.74245921779,0.0037245,0.0025155,86.65,216574344376238080,55.61311640912,0.17,31.74242777453,0.1172,3.773,0.1837,20.5406,9.143,5.791,0.235,-7.075,0.161,224,0.5576,345.8,0.703,4.632,95,1.1092,0.0393,14,1.025,0,1099.76,5.70921,18.084122,89.815,8.16764,20.45517,1819.0,16.598316,1.736,3.856854,1e+20,1e+20,0,1e+20,1e+20,146090556130881524,999999,999999,609036341,0.006274,0.098775,0.014536,18.058531,0.006156,1125.99,0.134,3.721,2.5206,0.0469
0.03134,159.8973540531,-17.8150050999,55.61769867,32.51331329,2M03422824+3230479,*,55.61769867,32.51331329,IC 348,3,16,15.8,0.0958,13.6,0.237,3970.0,4.86,4.74,0.0207,0.189,0.00852,1,1.95,2.81,1.95,2.81,1e+20,1e+20,2MASS J03422824+3230479,55.61769962622,32.51330462191,0.0015036,0.0009409,91.04,217454748248970752,55.61772085851,0.0668,32.51327590351,0.044,3.0939,0.0755,40.9911,7.615,4.029,0.093,-6.462,0.06,204,-0.2207,210.94,0.099,0.4354,31,1e+20,1e+20,14,0.987,0,4758.97,30.8038,16.493584,705.19,26.6661,18.217777,6435.83,15.226384,1.501,2.991393,1e+20,1e+20,0,1e+20,1e+20,147010556176916550,999999,999999,613038999,0.007549,0.041151,0.019155,16.493584,0.007549,4758.97,0.021,1.5034,0.9411,-0.0177
