angDist,_Glon,_Glat,_RAJ2000,_DEJ2000,2MASS,more,RAJ2000,DEJ2000,Cluster,YSO,Num,RV,e_RV,Vrot,e_Vrot,Teff,e_Teff,log(g),e_log(g),Veil,e_Veil,SB2,chi2,Slope,Lchi2,LSlope,q,e_q,SimbadName,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.012401,158.4305665524,-20.8473055994,52.13223648,30.98774147,2M03283173+3059158,*,52.13223648,30.98774147,NGC 1333,3,1,16.6,0.492,30.7,0.919,4750.0,39.4,4.44,0.0678,0.00118,0.0118,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03283173+3059158,52.13223344293,30.98774372557,0.0023017,0.0017328,63.18,121012460207454720,52.13226566911,0.1147,30.98771189658,0.0895,3.4066,0.13,26.2021,9.483,6.216,0.137,-7.162,0.118,245,-0.761,626.17,0.747,15.51,95,1.0596,0.0277,15,0.964,0,2604.39,5.67053,17.148102,174.167,8.40659,19.736126,4320.84,15.658975,1.726,4.077151,1e+20,1e+20,0,1e+20,1e+20,145180521322145889,999999,999999,605033262,0.00363,0.05248,0.006166,17.122511,0.003595,2666.5,0.095,2.1978,1.8627,0.2258
0.056877,158.228099205,-20.5680788794,52.15215302,31.32470512,2M03283651+3119289,*,52.15215302,31.32470512,NGC 1333,3,7,15.8,0.303,27.8,0.524,3540.0,23.4,4.26,0.0658,0.477,0.0214,1,0.762,0.611,0.762,0.611,1e+20,1e+20,2MASS J03283651+3119289,52.1521702566,31.32471084836,0.00116,0.0008564,66.65,121405260736491264,52.15220701085,0.0566,31.3246657484,0.0439,3.5145,0.066,53.2123,12.364,7.064,0.07,-10.147,0.058,207,4.1821,317.21,0.245,4.082,31,1e+20,1e+20,15,1.213,0,7523.0,10.4357,15.996389,1140.99,13.8802,17.695335,10097.8,14.737332,1.494,2.958003,1e+20,1e+20,0,1e+20,1e+20,145590521521560240,999999,999999,607033715,0.00314,0.013499,0.00542,15.996389,0.00314,7523.0,0.019,1.1177,0.9109,0.2188
0.104764,158.249617535,-20.5923926095,52.15384674,31.2931633,2M03283692+3117353,*,52.15384674,31.2931633,NGC 1333,3,7,14.5,0.291,53.5,0.466,3980.0,5.8,3.95,0.0266,0.192,0.00895,1,1.14,1.46,1.14,1.46,1e+20,1e+20,2MASS J03283692+3117353,52.15388072414,31.29316518323,0.001424,0.0010738,75.27,121405088937801472,52.15389591201,0.0744,31.29311229002,0.0542,3.1724,0.0857,37.0031,12.254,2.92,0.087,-11.901,0.069,223,2.0955,330.74,0.327,4.135,31,1e+20,1e+20,15,1.1,0,4615.17,8.21323,16.526897,592.293,8.04832,18.407202,9008.01,14.861323,2.08,3.545878,1e+20,1e+20,0,1e+20,1e+20,145550521538372385,999999,999999,607033716,0.003365,0.015015,0.007069,16.526897,0.003365,4615.17,0.52,1.404,1.0998,0.1393
0.127553,158.1895802412,-20.5176310443,52.15398026,31.38670158,2M03283695+3123121,*,52.15398026,31.38670158,NGC 1333,3,7,15.5,0.0875,10.2,0.282,4040.0,6.24,4.62,0.0232,0.186,0.00887,1,2.34,0.776,2.34,0.776,1e+20,1e+20,2MASS J03283695+3123121,52.15394523087,31.3866825756,0.0053468,0.0041026,79.19,121408937228493568,52.15397919192,0.2725,31.38664262302,0.2134,2.7416,0.3118,8.793,11.107,6.523,0.331,-8.989,0.262,221,123.7946,27351.98,2.276,808.6,31,1e+20,1e+20,15,11.079,0,15401.2,48.043,15.218478,2698.86,33.2686,16.76059,21425.1,13.920589,1.566,2.84,1e+20,1e+20,0,1e+20,1e+20,145660521539364617,999999,999999,607033717,0.004366,0.013671,0.007266,15.218478,0.004366,15401.2,0.109,5.308,4.1527,0.0982
0.052164,158.2878984538,-20.5851169812,52.19244766,31.27738571,2M03284618+3116385,*,52.19244766,31.27738571,NGC 1333,2,1,14.7,0.484,27.5,0.867,3780.0,25.5,3.82,0.0728,0.25,0.0283,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03284618+3116385,52.19246357966,31.277380726,0.0005851,0.0004367,88.11,121404161224865408,52.19250525162,0.0315,31.27734134398,0.0218,3.4465,0.0352,97.8421,11.947,8.013,0.036,-8.861,0.027,211,8.0496,419.95,0.161,8.561,31,1e+20,1e+20,15,1.42,0,35902.7,107.014,14.29955,5642.85,74.0562,15.959796,47766.6,13.050084,1.488,2.909712,1e+20,1e+20,0,1e+20,1e+20,145530521924233432,999999,999999,607033721,0.00425,0.01452,0.009096,14.29955,0.00425,35902.7,0.02,0.5849,0.4369,0.0196
0.073687,158.2898884806,-20.5779215644,52.19926071,31.28200531,2M03284782+3116552,*,52.19926071,31.28200531,NGC 1333,2,1,15.2,0.399,16.8,0.806,2780.0,18.1,3.87,0.116,0.0784,0.0294,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03284782+3116552,52.19928251523,31.28199684273,0.0023482,0.001652,73.94,121404161224865024,52.19932306897,0.1156,31.28195212086,0.084,3.2056,0.1328,24.1479,12.73,7.798,0.143,-10.062,0.108,210,-0.0189,267.76,0.394,2.027,31,1e+20,1e+20,15,0.997,0,1747.77,24.2403,17.581158,179.315,24.1324,19.7045,2886.62,16.09692,1.754,3.60758,1e+20,1e+20,0,1e+20,1e+20,145530521992468976,999999,999999,607033723,0.015308,0.146146,0.042979,17.581158,0.015308,1747.77,0.186,2.3024,1.7153,0.1874
0.09524,158.2846861153,-20.5526168239,52.21255875,31.30513382,2M03285101+3118184,*,52.21255875,31.30513382,NGC 1333,2,3,13.5,0.226,17.7,0.426,3190.0,10.8,3.11,0.0391,1.02,0.0372,1,66.0,8.29,66.0,8.29,1e+20,1e+20,2MASS J03285101+3118184,52.21258659197,31.30514539618,0.00093,0.000627,96.47,121404573541723392,52.21262748745,0.0448,31.30510426972,0.031,3.2195,0.0494,65.1997,12.142,7.862,0.058,-9.253,0.04,212,4.7564,463.44,0.234,8.844,31,1e+20,1e+20,14,1.241,0,16367.9,286.697,15.152382,1903.63,144.727,17.139585,23718.1,13.810196,1.565,3.32939,1e+20,1e+20,0,1e+20,1e+20,145560522125686781,999999,999999,607033725,0.019216,0.082592,0.058065,15.152382,0.019216,16367.9,0.036,0.9268,0.6317,-0.0902
0.07776,158.267986224,-20.5308665837,52.21329498,31.3319149,2M03285119+3119548,*,52.21329498,31.3319149,NGC 1333,2,7,14.5,0.112,16.0,0.27,4430.0,7.04,4.53,0.0265,0.266,0.00883,1,0.526,0.604,0.526,0.604,1e+20,1e+20,2MASS J03285119+3119548,52.21330477475,31.33189498609,0.0007438,0.0005639,84.69,121405432535181568,52.21334024621,0.0412,31.33185220888,0.0285,3.3347,0.0464,71.8474,11.795,6.817,0.046,-9.625,0.036,200,0.2036,208.52,0.0,0.0,31,1e+20,1e+20,15,1.009,0,10976.8,36.4711,15.586179,1806.15,22.6842,17.19666,14937.3,14.312217,1.525,2.884442,1e+20,1e+20,0,1e+20,1e+20,145590522132838871,999999,999999,607033727,0.004539,0.013919,0.011036,15.586179,0.004539,10976.8,0.062,0.7425,0.5657,0.0516
0.029671,158.2404769173,-20.4910062791,52.21734238,31.37925148,2M03285216+3122453,*,52.21734238,31.37925148,NGC 1333,2,5,13.9,0.136,10.4,0.43,3980.0,8.06,4.62,0.0348,0.386,0.0165,1,1.14,0.882,1.14,0.882,1e+20,1e+20,2MASS J03285216+3122453,52.21735159356,31.37924901874,0.000716,0.0005172,76.36,121407322320789504,52.21738261697,0.0384,31.37920557704,0.0277,3.4395,0.044,78.1712,11.448,5.959,0.044,-9.774,0.033,226,1.4648,259.99,0.107,1.361,31,1e+20,1e+20,15,1.069,0,12407.9,115.922,15.453121,2172.1,79.0104,16.996342,16642.9,14.194826,1.516,2.801516,1e+20,1e+20,0,1e+20,1e+20,145650522173355698,999999,999999,607033729,0.010511,0.039592,0.029899,15.453121,0.010511,12407.9,0.065,0.7064,0.5302,0.15
0.10541,158.309017961,-20.5647051137,52.22530365,31.28175545,2M03285407+3116543,*,52.22530365,31.28175545,NGC 1333,2,1,14.2,0.452,13.9,1.04,2920.0,20.5,4.31,0.117,0.0429,0.0355,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285407+3116543,52.22533751948,31.28175986561,0.0023951,0.00177,87.5,121404126865125888,52.22537074813,0.1204,31.28171547766,0.0875,3.1891,0.1341,23.7816,11.856,6.39,0.15,-9.987,0.112,207,2.117,341.42,0.617,6.814,31,1e+20,1e+20,14,1.105,0,2316.35,3.63676,17.275356,163.923,13.0992,19.801945,3812.12,15.794978,1.717,4.006967,1e+20,1e+20,0,1e+20,1e+20,145530522253088698,999999,999999,607033732,0.00324,0.086807,0.005785,17.275356,0.00324,2316.35,0.096,2.394,1.7714,0.0268
