angDist,_Glon,_Glat,_RAJ2000,_DEJ2000,2MASS,more,RAJ2000,DEJ2000,Cluster,YSO,Num,RV,e_RV,Vrot,e_Vrot,Teff,e_Teff,log(g),e_log(g),Veil,e_Veil,SB2,chi2,Slope,Lchi2,LSlope,q,e_q,SimbadName,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.097454,160.2363991758,-17.9917453797,55.77936935,32.1717453,2M03430704+3210182,*,55.77936935,32.1717453,IC 348,3,4,14.1,0.124,7.72,0.517,4010.0,9.0,4.62,0.0363,0.164,0.0145,1,0.132,0.205,0.132,0.205,1e+20,1e+20,2MASS J03430704+3210182,55.77939955901,32.17175418597,0.0011278,0.0007724,94.53,216690308493482624,55.77942531117,0.0595,32.17172890273,0.0372,3.1966,0.0632,50.5434,7.511,4.905,0.069,-5.689,0.049,216,1.212,255.64,0.126,0.9468,31,1e+20,1e+20,14,1.058,0,6207.12,8.31395,16.205143,905.766,14.5713,17.946003,8344.4,14.944408,1.49,3.001595,1e+20,1e+20,0,1e+20,1e+20,146600557793996679,999999,999999,611037690,0.003116,0.017688,0.005513,16.205143,0.003116,6207.12,0.009,1.1259,0.7751,-0.0609
0.043129,160.3622333843,-18.099384494,55.80715942,32.01253891,2M03431371+3200451,*,55.80715942,32.01253891,IC 348,2,16,14.8,0.117,9.95,0.394,4000.0,7.22,4.42,0.0311,0.252,0.0126,1,1.71,0.513,1.71,0.513,1e+20,1e+20,2MASS J03431371+3200451,55.80717216131,32.01254408746,0.00696,0.0047382,82.9,216685154533294336,55.8071937869,0.3594,32.01251543092,0.2614,3.3733,0.3797,8.8842,7.655,4.126,0.43,-6.448,0.303,201,-0.2435,250.26,1.162,2.583,95,1.0032,0.084,14,0.986,0,342.004,11.8327,19.352287,49.5943,10.9601,21.099962,647.224,17.720259,2.037,3.379704,1e+20,1e+20,0,1e+20,1e+20,146410558071525639,999999,999999,611037702,0.037665,0.239959,0.14023,19.326696,0.036793,350.161,0.501,6.9315,4.7799,0.0962
0.13747,160.259804288,-17.9273390449,55.84815598,32.20717239,2M03432355+3212258,*,55.84815598,32.20717239,IC 348,2,9,14.9,0.24,14.1,0.559,3000.0,11.7,4.44,0.0566,0.26,0.0237,1,0.76,0.435,0.76,0.435,1e+20,1e+20,2MASS J03432355+3212258,55.84819800446,32.20718631179,0.0034217,0.0022306,89.54,216693370806896000,55.84822627241,0.1692,32.20715697039,0.1079,2.9569,0.1823,16.2232,8.517,5.382,0.21,-6.602,0.14,215,-3.558,296.14,0.615,3.204,95,0.9894,0.037,14,0.83,0,1151.95,3.88855,18.033783,81.6373,5.80652,20.55882,1878.84,16.563173,1.702,3.995647,1e+20,1e+20,0,1e+20,1e+20,146640558481869193,999999,999999,612037847,0.004585,0.077274,0.012815,18.008192,0.004517,1179.42,0.083,3.4216,2.2307,0.0071
0.124167,160.3527500837,-17.9870235856,55.88357925,32.10479736,2M03433205+3206172,*,55.88357925,32.10479736,IC 348,3,16,15.7,0.0822,15.2,0.212,4330.0,5.27,4.66,0.0183,0.0738,0.00517,1,0.381,0.0832,0.381,0.0832,1e+20,1e+20,2MASS J03433205+3206172,55.88361010545,32.10481986492,0.000562,0.0004065,78.79,216685949103101824,55.88362781707,0.0304,32.10478973838,0.0192,3.1846,0.0318,100.0461,7.573,3.376,0.034,-6.778,0.026,221,-0.9231,194.87,0.0,0.0,31,1e+20,1e+20,14,0.954,0,22629.7,26.0218,14.800669,5667.56,30.6851,15.955052,25246.5,13.742394,1.366,2.212659,1e+20,1e+20,0,1e+20,1e+20,146520558835986341,999999,999999,611037732,0.003025,0.006507,0.005036,14.800669,0.003025,22629.7,0.001,0.5569,0.4135,0.1247
0.049373,160.3661161149,-17.9329738892,55.9358902,32.13826752,2M03434461+3208177,*,55.9358902,32.13826752,IC 348,2,4,15.8,0.109,7.55,0.558,4150.0,10.1,4.61,0.0338,0.28,0.0126,1,1.89,0.218,1.89,0.218,1e+20,1e+20,2MASS J03434461+3208177,55.93590639096,32.13826787832,0.0007569,0.0005023,69.55,216691927697575680,55.93592834209,0.0386,32.13823428344,0.0261,3.0907,0.0422,73.2988,8.639,4.182,0.045,-7.559,0.035,247,4.5039,357.83,0.144,3.609,31,1e+20,1e+20,14,1.21,0,16534.4,47.5255,15.141395,3366.13,40.7099,16.520714,20488.3,13.969131,1.443,2.551583,1e+20,1e+20,0,1e+20,1e+20,146560559359036480,999999,999999,611037741,0.004163,0.013424,0.009214,15.141395,0.004163,16534.4,0.028,0.7306,0.5399,0.266
0.049141,160.267503574,-17.8018459385,55.94952774,32.29911041,2M03434788+3217567,*,55.94952774,32.29911041,IC 348,3,16,15.2,0.0586,9.02,0.203,4060.0,4.59,4.59,0.0163,0.136,0.00585,1,1.18,0.361,1.18,0.361,1e+20,1e+20,2MASS J03434788+3217567,55.9495409805,32.29910259524,0.0010062,0.0005698,83.54,216695569829819520,55.9495657536,0.0466,32.29907535905,0.0275,3.1201,0.0533,58.4864,7.73,4.711,0.062,-6.128,0.037,262,2.4809,330.71,0.099,0.9515,31,1e+20,1e+20,15,1.11,0,9073.56,17.5332,15.792923,1504.36,19.9345,17.395159,11776.7,14.570335,1.464,2.824823,1e+20,1e+20,0,1e+20,1e+20,146750559495469507,999999,999999,612037928,0.003463,0.014655,0.007347,15.792923,0.003463,9073.56,0.009,1.0019,0.5774,0.1329
0.072166,160.2934707917,-17.8265390477,55.95337677,32.26432037,2M03434881+3215515,*,55.95337677,32.26432037,IC 348,2,16,14.8,0.141,20.5,0.273,3740.0,8.95,4.39,0.0291,0.336,0.0112,1,1.48,1.16,1.48,1.16,1e+20,1e+20,2MASS J03434881+3215515,55.95339461994,32.26430717817,0.0017475,0.0009218,88.97,216695256295900672,55.95341712662,0.0822,32.26427711763,0.0462,3.0595,0.0928,32.9671,8.005,4.282,0.108,-6.764,0.059,230,1.2397,288.92,0.223,2.08,31,1e+20,1e+20,14,1.057,0,4362.08,8.32388,16.588135,499.589,14.6079,18.59201,6314.97,15.246967,1.562,3.345043,1e+20,1e+20,0,1e+20,1e+20,146710559533947749,999999,999999,612037933,0.003447,0.031869,0.007075,16.588135,0.003447,4362.08,0.031,1.7473,0.9222,0.0246
0.108244,160.4011743685,-17.9223987134,55.97416687,32.12508392,2M03435379+3207303,*,55.97416687,32.12508392,IC 348,3,4,14.2,0.516,16.3,1.08,3350.0,37.2,4.79,0.133,0.357,0.0537,1,3.95,2.73,3.95,2.73,1e+20,1e+20,2MASS J03435379+3207303,55.97420090731,32.12507536805,0.0025347,0.0015651,66.15,216680515970990976,55.97422251251,0.133,32.12504947352,0.0894,3.0101,0.151,19.9353,7.134,4.117,0.149,-5.826,0.113,200,-0.0772,231.79,0.0,0.0,31,1e+20,1e+20,12,0.994,0,1717.85,2.5609,17.599901,146.404,9.81068,19.924664,2588.37,16.21533,1.592,3.709333,1e+20,1e+20,0,1e+20,1e+20,146550559741930665,999999,999999,611037755,0.003196,0.07281,0.006941,17.599901,0.003196,1717.85,0.01,2.403,1.7606,0.3475
0.083909,160.4077801368,-17.9228582256,55.97952652,32.12071228,2M03435508+3207145,*,55.97952652,32.12071228,IC 348,3,3,15.4,1.52,23.8,2.92,2770.0,60.5,4.62,0.276,0.192,0.0921,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03435508+3207145,55.97955403553,32.12071182634,0.0053704,0.0033811,64.9,216680309809831552,55.97957460761,0.2873,32.12068030154,0.1952,2.9079,0.3267,8.9,8.104,3.92,0.314,-7.093,0.245,202,3.9868,345.97,1.184,6.517,31,1e+20,1e+20,12,1.206,0,812.868,1.6951,18.412317,41.7515,5.78573,21.286863,1356.68,16.916698,1.72,4.370165,1e+20,1e+20,0,1e+20,1e+20,146540559795405403,999999,999999,611037759,0.003566,0.150482,0.008664,18.412317,0.003566,812.868,0.049,5.0704,3.8163,0.3456
0.08271,160.5394809043,-18.0724897717,55.98020172,31.92557526,2M03435524+3155320,*,55.98020172,31.92557526,IC 348,2,16,15.0,0.0838,8.41,0.344,4380.0,7.28,4.51,0.0254,0.246,0.00859,1,0.588,0.235,0.588,0.235,1e+20,1e+20,2MASS J03435524+3155320,55.98020881377,31.92559743216,0.0097278,0.0060002,74.82,216669211614679296,55.98023653534,0.4821,31.92557094484,0.3415,3.2932,0.536,6.1437,7.971,5.294,0.585,-5.96,0.404,212,1.8264,296.1,1.889,4.383,95,1.0486,0.11,15,1.09,0,301.351,3.64014,19.489685,37.6656,9.60926,21.398682,519.219,17.959518,1.848,3.439163,1e+20,1e+20,0,1e+20,1e+20,146310559802121282,999999,999999,999999,0.013401,0.277008,0.057966,19.464094,0.013103,308.538,0.303,9.5189,6.3264,0.2461
