angDist,_Glon,_Glat,_RAJ2000,_DEJ2000,2MASS,more,RAJ2000,DEJ2000,Cluster,YSO,Num,RV,e_RV,Vrot,e_Vrot,Teff,e_Teff,log(g),e_log(g),Veil,e_Veil,SB2,chi2,Slope,Lchi2,LSlope,q,e_q,SimbadName,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.056877,158.228099205,-20.5680788794,52.15215302,31.32470512,2M03283651+3119289,*,52.15215302,31.32470512,NGC 1333,3,7,15.8,0.303,27.8,0.524,3540.0,23.4,4.26,0.0658,0.477,0.0214,1,0.762,0.611,0.762,0.611,1e+20,1e+20,2MASS J03283651+3119289,52.1521702566,31.32471084836,0.00116,0.0008564,66.65,121405260736491264,52.15220701085,0.0566,31.3246657484,0.0439,3.5145,0.066,53.2123,12.364,7.064,0.07,-10.147,0.058,207,4.1821,317.21,0.245,4.082,31,1e+20,1e+20,15,1.213,0,7523.0,10.4357,15.996389,1140.99,13.8802,17.695335,10097.8,14.737332,1.494,2.958003,1e+20,1e+20,0,1e+20,1e+20,145590521521560240,999999,999999,607033715,0.00314,0.013499,0.00542,15.996389,0.00314,7523.0,0.019,1.1177,0.9109,0.2188
0.083101,158.2695514809,-20.5779416161,52.18146515,31.29346085,2M03284355+3117364,*,52.18146515,31.29346085,NGC 1333,2,1,13.3,0.529,23.4,1.07,3040.0,17.4,2.74,0.0651,0.609,0.072,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03284355+3117364,52.18149089544,31.29346783967,0.0020416,0.0015139,81.27,121404917139108864,52.1815287301,0.103,31.29342456155,0.0745,3.3541,0.1171,28.632,12.155,7.274,0.126,-9.738,0.096,218,4.8949,519.26,0.609,11.13,31,1e+20,1e+20,15,1.245,0,3573.22,36.0304,16.804718,257.285,20.7283,19.312508,6617.78,15.196116,1.924,4.116392,1e+20,1e+20,0,1e+20,1e+20,145550521814702760,999999,999999,607033720,0.011289,0.087518,0.034105,16.804718,0.011289,3573.22,0.288,2.031,1.5281,0.0907
0.065772,158.2360428704,-20.5332716514,52.18364334,31.34801674,2M03284407+3120528,*,52.18364334,31.34801674,NGC 1333,2,7,15.0,0.382,16.8,0.789,2680.0,17.4,4.14,0.103,0.169,0.0343,1,0.225,0.19,0.225,0.19,1e+20,1e+20,2MASS J03284407+3120528,52.18366132316,31.3480068445,0.0067614,0.0047527,93.94,121405707412161536,52.18369911243,0.322,31.3479618872,0.2225,4.0933,0.3587,11.4103,12.452,7.261,0.424,-10.115,0.301,208,1.8698,343.67,1.171,3.137,95,0.9856,0.086,15,1.093,0,460.299,1.54453,19.029768,45.4811,5.98326,21.193966,813.04,17.472616,1.865,3.72135,1e+20,1e+20,0,1e+20,1e+20,145610521835708239,999999,999999,999999,0.004568,0.142861,0.01522,19.004177,0.0045,471.277,0.281,6.7533,4.7642,-0.0493
0.067037,158.2123340275,-20.4827671277,52.1985054,31.4017086,2M03284764+3124061,*,52.1985054,31.4017086,NGC 1333,2,5,12.4,0.369,19.4,0.75,3600.0,33.0,4.17,0.0965,0.723,0.0421,1,5.53,2.4,5.53,2.4,1e+20,1e+20,2MASS J03284764+3124061,52.19849524042,31.40169212088,0.0088958,0.0055761,99.93,121410341682494592,52.19854022252,0.4684,31.4016454335,0.2735,3.531,0.5372,6.5727,13.6,8.639,0.55,-10.505,0.359,199,-0.1684,233.61,0.943,1.026,95,1.0499,0.1207,15,0.99,0,333.64,3.24021,19.379171,37.2468,6.34736,21.41082,561.256,17.874992,1.794,3.535828,1e+20,1e+20,0,1e+20,1e+20,145680521984852623,999999,999999,999999,0.010898,0.185045,0.043029,19.35358,0.010661,341.598,0.235,8.8151,5.7028,-0.1624
0.073687,158.2898884806,-20.5779215644,52.19926071,31.28200531,2M03284782+3116552,*,52.19926071,31.28200531,NGC 1333,2,1,15.2,0.399,16.8,0.806,2780.0,18.1,3.87,0.116,0.0784,0.0294,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03284782+3116552,52.19928251523,31.28199684273,0.0023482,0.001652,73.94,121404161224865024,52.19932306897,0.1156,31.28195212086,0.084,3.2056,0.1328,24.1479,12.73,7.798,0.143,-10.062,0.108,210,-0.0189,267.76,0.394,2.027,31,1e+20,1e+20,15,0.997,0,1747.77,24.2403,17.581158,179.315,24.1324,19.7045,2886.62,16.09692,1.754,3.60758,1e+20,1e+20,0,1e+20,1e+20,145530521992468976,999999,999999,607033723,0.015308,0.146146,0.042979,17.581158,0.015308,1747.77,0.186,2.3024,1.7153,0.1874
0.09524,158.2846861153,-20.5526168239,52.21255875,31.30513382,2M03285101+3118184,*,52.21255875,31.30513382,NGC 1333,2,3,13.5,0.226,17.7,0.426,3190.0,10.8,3.11,0.0391,1.02,0.0372,1,66.0,8.29,66.0,8.29,1e+20,1e+20,2MASS J03285101+3118184,52.21258659197,31.30514539618,0.00093,0.000627,96.47,121404573541723392,52.21262748745,0.0448,31.30510426972,0.031,3.2195,0.0494,65.1997,12.142,7.862,0.058,-9.253,0.04,212,4.7564,463.44,0.234,8.844,31,1e+20,1e+20,14,1.241,0,16367.9,286.697,15.152382,1903.63,144.727,17.139585,23718.1,13.810196,1.565,3.32939,1e+20,1e+20,0,1e+20,1e+20,145560522125686781,999999,999999,607033725,0.019216,0.082592,0.058065,15.152382,0.019216,16367.9,0.036,0.9268,0.6317,-0.0902
0.124104,158.3037753778,-20.5760231236,52.21273804,31.27568436,2M03285105+3116324,*,52.21273804,31.27568436,NGC 1333,2,1,14.2,0.998,23.8,1.75,3050.0,34.8,4.13,0.192,0.131,0.0719,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285105+3116324,52.21277621977,31.27569547754,0.0015474,0.0011581,83.01,121404126865126784,52.21280715148,0.0814,31.27565072891,0.0579,3.5147,0.0896,39.2135,11.694,5.948,0.096,-10.068,0.073,202,-0.1327,232.96,0.035,0.03008,31,1e+20,1e+20,14,0.992,0,2954.18,4.65642,17.011276,295.315,9.16361,19.162827,4416.96,15.635087,1.595,3.52774,1e+20,1e+20,0,1e+20,1e+20,145530522127381419,999999,999999,607033726,0.003244,0.033806,0.005506,17.011276,0.003244,2954.18,0.038,1.5424,1.1648,0.0708
0.07776,158.267986224,-20.5308665837,52.21329498,31.3319149,2M03285119+3119548,*,52.21329498,31.3319149,NGC 1333,2,7,14.5,0.112,16.0,0.27,4430.0,7.04,4.53,0.0265,0.266,0.00883,1,0.526,0.604,0.526,0.604,1e+20,1e+20,2MASS J03285119+3119548,52.21330477475,31.33189498609,0.0007438,0.0005639,84.69,121405432535181568,52.21334024621,0.0412,31.33185220888,0.0285,3.3347,0.0464,71.8474,11.795,6.817,0.046,-9.625,0.036,200,0.2036,208.52,0.0,0.0,31,1e+20,1e+20,15,1.009,0,10976.8,36.4711,15.586179,1806.15,22.6842,17.19666,14937.3,14.312217,1.525,2.884442,1e+20,1e+20,0,1e+20,1e+20,145590522132838871,999999,999999,607033727,0.004539,0.013919,0.011036,15.586179,0.004539,10976.8,0.062,0.7425,0.5657,0.0516
0.104946,158.3151337173,-20.5837522438,52.21721268,31.2631073,2M03285213+3115471,*,52.21721268,31.2631073,NGC 1333,2,1,13.9,0.569,26.1,0.951,2550.0,21.8,3.96,0.111,0.0497,0.0366,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285213+3115471,52.21724568925,31.26311462564,0.0024275,0.0018297,76.03,121403886346958720,52.21728560807,0.1224,31.26307123632,0.0907,3.342,0.1412,23.6651,12.42,7.678,0.149,-9.763,0.118,225,3.2518,436.27,0.69,8.441,31,1e+20,1e+20,15,1.157,0,2290.09,6.34446,17.287733,110.998,8.1538,20.22525,3831.63,15.789435,1.722,4.435815,1e+20,1e+20,0,1e+20,1e+20,145510522172176324,999999,999999,607033728,0.004079,0.079806,0.008679,17.287733,0.004079,2290.09,0.041,2.3967,1.8698,0.1331
0.029671,158.2404769173,-20.4910062791,52.21734238,31.37925148,2M03285216+3122453,*,52.21734238,31.37925148,NGC 1333,2,5,13.9,0.136,10.4,0.43,3980.0,8.06,4.62,0.0348,0.386,0.0165,1,1.14,0.882,1.14,0.882,1e+20,1e+20,2MASS J03285216+3122453,52.21735159356,31.37924901874,0.000716,0.0005172,76.36,121407322320789504,52.21738261697,0.0384,31.37920557704,0.0277,3.4395,0.044,78.1712,11.448,5.959,0.044,-9.774,0.033,226,1.4648,259.99,0.107,1.361,31,1e+20,1e+20,15,1.069,0,12407.9,115.922,15.453121,2172.1,79.0104,16.996342,16642.9,14.194826,1.516,2.801516,1e+20,1e+20,0,1e+20,1e+20,145650522173355698,999999,999999,607033729,0.010511,0.039592,0.029899,15.453121,0.010511,12407.9,0.065,0.7064,0.5302,0.15
